,ID,source.x,target.x,ligand.x,receptor.x,prob.x,pval.x,interaction_name.x,interaction_name_2.x,pathway_name.x,annotation.x,evidence.x,source.y,target.y,ligand.y,receptor.y,prob.y,pval.y,interaction_name.y,interaction_name_2.y,pathway_name.y,annotation.y,evidence.y,abslogPdif,INTastX,INTastY,INT,ID (source_target_ligand_receptor)
258,AST_Vlp_SEMA6A_PLXNA4,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,AST,Vlp,Sema6a,Plxna4,0.0669705945272888,0.0,SEMA6A_PLXNA4,Sema6a  - Plxna4,SEMA6,Cell-Cell Contact,PMID: 27533782,1.17411584562445,NA_NA,AST_Vlp,NA_NA_AST_Vlp,NA
54,AST_L2/3/4_SEMA6A_PLXNA4,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,AST,L2/3/4,Sema6a,Plxna4,0.068153903741278,0.0,SEMA6A_PLXNA4,Sema6a  - Plxna4,SEMA6,Cell-Cell Contact,PMID: 27533782,1.16650926345747,NA_NA,AST_L2/3/4,NA_NA_AST_L2/3/4,NA
71,AST_L4_SEMA6A_PLXNA4,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,AST,L4,Sema6a,Plxna4,0.0692208309544808,0.0,SEMA6A_PLXNA4,Sema6a  - Plxna4,SEMA6,Cell-Cell Contact,PMID: 27533782,1.15976319156631,NA_NA,AST_L4,NA_NA_AST_L4,NA
89,L2/3_AST_GAS6_MERTK,L2/3,AST,Gas6,Mertk,0.0731714774129246,0.0,GAS6_MERTK,Gas6  - Mertk,GAS,Secreted Signaling,PMID: 27801848,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1.13565817599294,L2/3_AST,NA_NA,L2/3_AST_NA_NA,NA
217,AST_L6IT_SEMA6A_PLXNA4,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,AST,L6IT,Sema6a,Plxna4,0.073768064029575,0.0,SEMA6A_PLXNA4,Sema6a  - Plxna4,SEMA6,Cell-Cell Contact,PMID: 27533782,1.13213161402441,NA_NA,AST_L6IT,NA_NA_AST_L6IT,NA
123,AST_L5NP_SEMA6A_PLXNA4,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,AST,L5NP,Sema6a,Plxna4,0.0739254309602267,0.0,SEMA6A_PLXNA4,Sema6a  - Plxna4,SEMA6,Cell-Cell Contact,PMID: 27533782,1.13120613500471,NA_NA,AST_L5NP,NA_NA_AST_L5NP,NA
1077,L6IT_AST_GAS6_MERTK,L6IT,AST,Gas6,Mertk,0.0749153241364888,0.0,GAS6_MERTK,Gas6  - Mertk,GAS,Secreted Signaling,PMID: 27801848,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1.12542933707754,L6IT_AST,NA_NA,L6IT_AST_NA_NA,NA
366,L4_AST_GAS6_MERTK,L4,AST,Gas6,Mertk,0.0753194315690686,0.0,GAS6_MERTK,Gas6  - Mertk,GAS,Secreted Signaling,PMID: 27801848,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1.12309296623568,L4_AST,NA_NA,L4_AST_NA_NA,NA
107,AST_L5IT_SEMA6A_PLXNA4,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,AST,L5IT,Sema6a,Plxna4,0.0760551715231362,0.0,SEMA6A_PLXNA4,Sema6a  - Plxna4,SEMA6,Cell-Cell Contact,PMID: 27533782,1.11887124988712,NA_NA,AST_L5IT,NA_NA_AST_L5IT,NA
1241,NA,L6IT,AST,Col6a1,Sdc4,0.080902015,0.0,COL6A1_SDC4,Col6a1  - Sdc4,COLLAGEN,ECM-Receptor,KEGG: mmu04512,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1.09204066,L6IT_AST,NA_NA,L6IT_AST_NA_NA,L6IT_AST_COL6A1_SDC4
